,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Interior Lighting (MBtu),Receptacle Equipment (MBtu),Space Heating (MBtu),Service Water Heating (MBtu),Space Cooling (MBtu),Heat Rejection (MBtu),Interior Central Fans (MBtu),Interior Local Fans (MBtu),Exhaust Fans (MBtu),Pumps (MBtu),,,,,,,,
,,,,,,,,,,,,,,,,,,
Date,C.aps,C.aps,C.aps,C.aps,C.aps,C.aps,C.aps,C.aps,C.aps,C.aps,,,,,,,,
Jan 01-31,132.217,163.199,169.238,2.128,0.074,28.806,15.685,16.484,0,5.615,,,,,,,,
Feb 01-28,123.796,176.756,110.324,1.994,2.534,28.648,15.179,15.117,0,5.442,,,,,,,,
Mar 01-31,140.691,226.803,91.849,2.267,4.645,35.399,17.502,16.577,0,6.661,,,,,,,,
Apr 01-30,135.059,244.313,59.74,2.176,8.682,34.435,17.574,15.595,0,6.3,,,,,,,,
May 01-31,132.217,163.199,45.988,2.128,18.681,34.22,16.657,15.605,0,6.084,,,,,,,,
Jun 01-30,135.059,192.154,43.368,2.176,26.938,33.539,17.34,15.652,0,6.047,,,,,,,,
Jul 01-31,136.998,222.356,31.997,2.206,26.136,33.702,18.176,15.61,0,6.034,,,,,,,,
Aug 01-31,135.911,248.493,33.71,2.189,50.214,33.946,19.114,15.615,0,6.095,,,,,,,,
Sep 01-30,135.059,166.073,35.259,2.176,48.334,33.088,17.632,15.442,0,6.02,,,,,,,,
Oct 01-31,132.217,190.149,60.304,2.128,15.856,33.318,17.09,15.794,0,6.219,,,,,,,,
Nov 01-30,135.059,218.234,96.47,2.176,3.883,33.167,16.462,15.927,0,6.312,,,,,,,,
Dec 01-31,140.691,253.751,145.985,2.267,0.577,33.891,17.365,16.889,0,6.493,,,,,,,,
Summed total,1614.976,2465.481,924.231,26.013,206.554,396.158,205.776,190.308,0,73.322,,,,,,,,
